"ano";"tipo";"razon_social";"nombre_establecimiento";"rubro_retc";"region";"comuna";"capitulo_ler";"subcapitulo_ler";"nombre_ler";"tratamiento";"valorizacion_eliminacion";"cantidad_toneladas";"declaracion_estimacion";"establecimiento_destinatario";"comuna_destinatario"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Madera distinta de la especificada en el código 19 12 06";"Co-procesamiento";"Valorización";0,48;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"UNILEVER CHILE SCC LIMITADA";"UNILEVER CHILE SA PLANTA PANAMERICANA NORTE";"Producción de alimentos";"Metropolitana de Santiago";"Conchalí";"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtraciÃ³n y ropas de protecciÃ³n no especificados en otra categorÃ­a";"Envases (incluidos los residuos de envases de la recogida selectiva municipal)";"Envases compuestos";"Co-procesamiento";"Valorización";0,175;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"AQUASMOLT LIMITADA";"PISCICULTURA ESTERO SEN SEN";"Pesca";"Araucanía";"Melipeuco";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Lodos de fosas sépticas";"Co-procesamiento";"Valorización";3,5;NA;"PLANTA DE TRATAMIENTO DE AGUAS SERVIDAS - VILLARRICA";"Villarrica"
"2018";"Generador Industrial";"UNILEVER CHILE SCC LIMITADA";"UNILEVER CHILE SA PLANTA PANAMERICANA NORTE";"Producción de alimentos";"Metropolitana de Santiago";"Conchalí";"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtraciÃ³n y ropas de protecciÃ³n no especificados en otra categorÃ­a";"Envases (incluidos los residuos de envases de la recogida selectiva municipal)";"Envases compuestos";"Co-procesamiento";"Valorización";0,06;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Plásticos";"Co-procesamiento";"Valorización";2,717;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"UNILEVER CHILE SCC LIMITADA";"UNILEVER CHILE SA PLANTA PANAMERICANA NORTE";"Producción de alimentos";"Metropolitana de Santiago";"Conchalí";"Residuos de envases; absorbentes, trapos de limpieza, materiales de filtraciÃ³n y ropas de protecciÃ³n no especificados en otra categorÃ­a";"Envases (incluidos los residuos de envases de la recogida selectiva municipal)";"Envases compuestos";"Co-procesamiento";"Valorización";10,8;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"BEIERSDORF S A";"BEIERSDORF S.A.";"Industria manufacturera";"Metropolitana de Santiago";"Lo Espejo";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Otras fracciones no especificadas en otra categoría";"Co-procesamiento";"Valorización";7,68;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"SOCOFAR S A";"SOCOFAR SA";"Comercio";"Metropolitana de Santiago";"Macul";"Residuos de procesos quÃ­micos orgÃ¡nicos";"Residuos de la FFDU de productos farmacÃ©uticos";"Residuos no especificados en otra categoría";"Incineración sin recuperación de energía";"Eliminación";8,901;NA;"PROCESOS SANITARIOS";"Quilicura"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Fracciones recogidas selectivamente (excepto las especificadas en el subcapÃ­tulo 15 01)";"Madera distinta de la especificada en el código 19 12 06";"Co-procesamiento";"Valorización";1,903;NA;"COACTIVA";"Tiltil"
"2018";"Generador Industrial";"PROCTER & GAMBLE CHILE LIMITADA";"PROCTER AND GAMBLE CHILE LTDA";"Industria del papel y celulosa";"Metropolitana de Santiago";"Macul";"Residuos municipales (residuos domÃ©sticos y residuos asimilables procedentes de los comercios, industrias e instituciones), incluidas las fracciones recogidas selectivamente";"Otros residuos municipales";"Mezclas de residuos municipales";"Co-procesamiento";"Valorización";0,324;NA;"COACTIVA";"Tiltil"
